adsh,cik,ticker,name,sec_url,accepted_filing_time,accepted_filing_date
0000102037-16-000070,102037,UVV,UNIVERSAL CORP /VA/,https://www.sec.gov/Archives/edgar/data/102037/000010203716000070/0000102037-16-000070.txt,2016-11-08 16:19:00,2016-11-08
0000102037-19-000042,102037,UVV,UNIVERSAL CORP /VA/,https://www.sec.gov/Archives/edgar/data/102037/000010203719000042/0000102037-19-000042.txt,2019-08-07 16:26:00,2019-08-07
0000106040-17-000007,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604017000007/0000106040-17-000007.txt,2017-02-07 16:18:00,2017-02-07
0000106040-17-000036,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604017000036/0000106040-17-000036.txt,2017-11-06 21:17:00,2017-11-06
0000106040-20-000024,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604020000024/0000106040-20-000024.txt,2020-05-08 16:09:00,2020-05-08
0000106040-20-000011,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604020000011/0000106040-20-000011.txt,2020-02-10 17:35:00,2020-02-10
0000106040-16-000022,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604016000022/0000106040-16-000022.txt,2016-05-09 17:11:00,2016-05-09
0000106040-16-000019,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604016000019/0000106040-16-000019.txt,2016-02-10 16:52:00,2016-02-10
0000106040-17-000013,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604017000013/0000106040-17-000013.txt,2017-05-08 17:19:00,2017-05-08
0000106040-19-000009,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604019000009/0000106040-19-000009.txt,2019-02-04 20:16:00,2019-02-04
0000106040-18-000034,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604018000034/0000106040-18-000034.txt,2018-11-05 20:47:00,2018-11-05
0000106040-19-000075,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604019000075/0000106040-19-000075.txt,2019-11-12 17:21:00,2019-11-12
0000106040-19-000028,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604019000028/0000106040-19-000028.txt,2019-05-06 21:39:00,2019-05-06
0000106040-18-000010,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604018000010/0000106040-18-000010.txt,2018-02-05 21:43:00,2018-02-05
0000106040-16-000040,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604016000040/0000106040-16-000040.txt,2016-11-08 16:50:00,2016-11-08
0000106040-18-000016,106040,WDC,WESTERN DIGITAL CORP,https://www.sec.gov/Archives/edgar/data/106040/000010604018000016/0000106040-18-000016.txt,2018-05-07 18:28:00,2018-05-07
0000109177-17-000018,109177,SPB,"HRG GROUP, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917717000018/0000109177-17-000018.txt,2017-02-07 17:28:00,2017-02-07
0000109177-17-000054,109177,SPB,"HRG GROUP, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917717000054/0000109177-17-000054.txt,2017-08-04 16:29:00,2017-08-04
0000109177-20-000022,109177,SPB,"SPECTRUM BRANDS HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917720000022/0000109177-20-000022.txt,2020-05-05 16:16:00,2020-05-05
0000109177-20-000009,109177,SPB,"SPECTRUM BRANDS HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917720000009/0000109177-20-000009.txt,2020-02-04 16:39:00,2020-02-04
0000109177-16-000131,109177,SPB,"HRG GROUP, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917716000131/0000109177-16-000131.txt,2016-05-09 16:24:00,2016-05-09
0000109177-16-000116,109177,SPB,"HRG GROUP, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917716000116/0000109177-16-000116.txt,2016-02-05 11:22:00,2016-02-05
0000109177-16-000154,109177,SPB,"HRG GROUP, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917716000154/0000109177-16-000154.txt,2016-08-09 11:49:00,2016-08-09
0000109177-20-000035,109177,SPB,"SPECTRUM BRANDS HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917720000035/0000109177-20-000035.txt,2020-07-31 16:01:00,2020-07-31
0000109177-17-000034,109177,SPB,"HRG GROUP, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917717000034/0000109177-17-000034.txt,2017-05-05 16:58:00,2017-05-05
0000109177-19-000015,109177,SPB,"SPECTRUM BRANDS HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917719000015/0000109177-19-000015.txt,2019-02-07 16:15:00,2019-02-07
0000109177-18-000043,109177,SPB,"SPECTRUM BRANDS HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917718000043/0000109177-18-000043.txt,2018-08-07 17:59:00,2018-08-07
0000109177-19-000028,109177,SPB,"SPECTRUM BRANDS HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917719000028/0000109177-19-000028.txt,2019-05-08 16:38:00,2019-05-08
0000109177-18-000009,109177,SPB,"HRG GROUP, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917718000009/0000109177-18-000009.txt,2018-02-09 16:30:00,2018-02-09
0000109177-18-000023,109177,SPB,"HRG GROUP, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917718000023/0000109177-18-000023.txt,2018-05-04 08:21:00,2018-05-04
0000109177-19-000038,109177,SPB,"SPECTRUM BRANDS HOLDINGS, INC.",https://www.sec.gov/Archives/edgar/data/109177/000010917719000038/0000109177-19-000038.txt,2019-08-07 16:40:00,2019-08-07
0000278166-17-000004,278166,CVCO,CAVCO INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/278166/000027816617000004/0000278166-17-000004.txt,2017-02-07 16:10:00,2017-02-07
0000278166-17-000042,278166,CVCO,CAVCO INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/278166/000027816617000042/0000278166-17-000042.txt,2017-08-08 12:14:00,2017-08-08
0000278166-17-000056,278166,CVCO,CAVCO INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/278166/000027816617000056/0000278166-17-000056.txt,2017-11-08 16:08:00,2017-11-08
0000278166-20-000013,278166,CVCO,CAVCO INDUSTRIES INC.,https://www.sec.gov/Archives/edgar/data/278166/000027816620000013/0000278166-20-000013.txt,2020-01-31 16:21:00,2020-01-31
0000278166-16-000084,278166,CVCO,CAVCO INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/278166/000027816616000084/0000278166-16-000084.txt,2016-02-03 17:43:00,2016-02-03
0000278166-16-000124,278166,CVCO,CAVCO INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/278166/000027816616000124/0000278166-16-000124.txt,2016-08-10 16:07:00,2016-08-10
0000278166-20-000061,278166,CVCO,CAVCO INDUSTRIES INC.,https://www.sec.gov/Archives/edgar/data/278166/000027816620000061/0000278166-20-000061.txt,2020-07-31 20:07:00,2020-07-31
0000278166-19-000011,278166,CVCO,CAVCO INDUSTRIES INC.,https://www.sec.gov/Archives/edgar/data/278166/000027816619000011/0000278166-19-000011.txt,2019-02-05 16:14:00,2019-02-05
0000278166-18-000063,278166,CVCO,CAVCO INDUSTRIES INC.,https://www.sec.gov/Archives/edgar/data/278166/000027816618000063/0000278166-18-000063.txt,2018-11-08 17:18:00,2018-11-08
0000278166-19-000105,278166,CVCO,CAVCO INDUSTRIES INC.,https://www.sec.gov/Archives/edgar/data/278166/000027816619000105/0000278166-19-000105.txt,2019-10-29 21:15:00,2019-10-29
0000278166-18-000042,278166,CVCO,CAVCO INDUSTRIES INC.,https://www.sec.gov/Archives/edgar/data/278166/000027816618000042/0000278166-18-000042.txt,2018-08-07 18:18:00,2018-08-07
0000278166-18-000004,278166,CVCO,CAVCO INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/278166/000027816618000004/0000278166-18-000004.txt,2018-02-07 16:07:00,2018-02-07
0000278166-16-000138,278166,CVCO,CAVCO INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/278166/000027816616000138/0000278166-16-000138.txt,2016-11-09 16:08:00,2016-11-09
0000278166-19-000099,278166,CVCO,CAVCO INDUSTRIES INC.,https://www.sec.gov/Archives/edgar/data/278166/000027816619000099/0000278166-19-000099.txt,2019-07-30 16:17:00,2019-07-30
0000704051-17-000012,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405117000012/0000704051-17-000012.txt,2017-02-07 16:09:00,2017-02-07
0000704051-17-000012,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405117000012/0000704051-17-000012.txt,2017-02-07 16:09:00,2017-02-07
0000704051-17-000080,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405117000080/0000704051-17-000080.txt,2017-08-04 17:16:00,2017-08-04
0000704051-17-000080,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405117000080/0000704051-17-000080.txt,2017-08-04 17:16:00,2017-08-04
0000704051-17-000100,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405117000100/0000704051-17-000100.txt,2017-11-09 15:18:00,2017-11-09
0000704051-17-000100,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405117000100/0000704051-17-000100.txt,2017-11-09 15:18:00,2017-11-09
0000704051-20-000012,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405120000012/0000704051-20-000012.txt,2020-02-05 17:08:00,2020-02-05
0000704051-20-000012,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405120000012/0000704051-20-000012.txt,2020-02-05 17:08:00,2020-02-05
0000704051-16-000112,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405116000112/0000704051-16-000112.txt,2016-02-02 17:09:00,2016-02-02
0000704051-16-000112,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405116000112/0000704051-16-000112.txt,2016-02-02 17:09:00,2016-02-02
0000704051-16-000179,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405116000179/0000704051-16-000179.txt,2016-08-02 16:48:00,2016-08-02
0000704051-16-000179,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405116000179/0000704051-16-000179.txt,2016-08-02 16:48:00,2016-08-02
0000704051-20-000085,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405120000085/0000704051-20-000085.txt,2020-07-31 09:05:00,2020-07-31
0000704051-20-000085,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405120000085/0000704051-20-000085.txt,2020-07-31 09:05:00,2020-07-31
0000704051-19-000017,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405119000017/0000704051-19-000017.txt,2019-02-05 16:42:00,2019-02-05
0000704051-19-000017,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405119000017/0000704051-19-000017.txt,2019-02-05 16:42:00,2019-02-05
0000704051-18-000130,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405118000130/0000704051-18-000130.txt,2018-11-06 16:33:00,2018-11-06
0000704051-18-000130,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405118000130/0000704051-18-000130.txt,2018-11-06 16:33:00,2018-11-06
0000704051-19-000126,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405119000126/0000704051-19-000126.txt,2019-11-08 14:23:00,2019-11-08
0000704051-19-000126,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405119000126/0000704051-19-000126.txt,2019-11-08 14:23:00,2019-11-08
0000704051-18-000107,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405118000107/0000704051-18-000107.txt,2018-08-06 16:31:00,2018-08-06
0000704051-18-000107,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405118000107/0000704051-18-000107.txt,2018-08-06 16:31:00,2018-08-06
0000704051-18-000022,704051,LMHA,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405118000022/0000704051-18-000022.txt,2018-02-05 16:55:00,2018-02-05
0000704051-18-000022,704051,LMHB,"LEGG MASON, INC.",https://www.sec.gov/Archives/edgar/data/704051/000070405118000022/0000704051-18-000022.txt,2018-02-05 16:55:00,2018-02-05
